staging_record_id,deal_key,event_type,valid_at,known_at,source_name,source_url,verification_level,reason
MNA-20260714-ABF-HOVIS,ABF / Hovis,regulatory_clearance,2026-07-14,2026-07-14,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/abf-slash-hovis-merger-inquiry,unverified_staging,regulator-only event with no verified deal record; events cannot create deals
MNA-20260715-DANONE-HUEL-LAUNCH,Danone / Huel,regulatory_phase1_launched,2026-07-15,2026-07-15,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/danone-slash-huel-merger-inquiry,unverified_staging,regulator-only event with no verified deal record; events cannot create deals
MNA-20260813-SERAS-ENVA-CLEAR,Seras Energy / Enva waste wood business,regulatory_clearance,2026-08-13,2026-08-13,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/seras-slash-enva-dedicated-waste-wood-business-merger-inquiry,unverified_staging,regulator-only event with no verified deal record; events cannot create deals
MNA-20260820-DANONE-HUEL-CLEAR,Danone / Huel,regulatory_clearance,2026-08-20,2026-08-20,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/danone-slash-huel-merger-inquiry,unverified_staging,regulator-only event with no verified deal record; events cannot create deals
MNA-20260903-SERAS-ENVA-CLOSE,Seras Energy / Enva waste wood business,regulatory_case_closed,2026-09-03,2026-09-03,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/seras-slash-enva-dedicated-waste-wood-business-merger-inquiry,unverified_staging,regulator-only event with no verified deal record; events cannot create deals
MNA-20260915-OCS-MITIE,OCS / Mitie,regulatory_invitation_to_comment,2026-09-15,2026-09-15,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/ocs-slash-mitie-merger-inquiry,unverified_staging,regulator-only event with no verified deal record; events cannot create deals
MNA-20260917-ABP-DOVECOTE,ABP / Dovecote Park minority acquisition,regulatory_enforcement_order,2026-09-17,2026-09-21,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/abp-slash-dovecote-park-merger-inquiry,unverified_staging,regulator-only event with no verified deal record; events cannot create deals
MNA-20260923-GXO-WINCANTON-CLOSECASE,GXO / Wincanton,remedy_divestiture_completed,2026-09-13,2026-09-23,UK Competition and Markets Authority,https://www.gov.uk/cma-cases/gxo-slash-wincanton-merger-inquiry,unverified_staging,regulator-only event with no verified deal record; events cannot create deals
